Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point,Year
El Paso,Texas,2402,US-Mexico Border,Oct 2024,Personal Vehicles,685859,31.764,-106.451,POINT (-106.451188 31.764363),2024
Laurier,Washington,3016,US-Canada Border,Oct 2024,Trucks,511,49.0,-118.224,POINT (-118.223777 49.000083),2024
Norton,Vermont,211,US-Canada Border,Oct 2024,Truck Containers Empty,163,45.011,-71.793,POINT (-71.793219 45.010771),2024
Brownsville,Texas,2301,US-Mexico Border,Oct 2024,Trucks,26164,25.952,-97.401,POINT (-97.40067 25.95155),2024
Richford,Vermont,203,US-Canada Border,Oct 2024,Bus Passengers,28,45.012,-72.589,POINT (-72.588559 45.01174),2024
Alexandria Bay,New York,708,US-Canada Border,Oct 2024,Personal Vehicle Passengers,107090,44.347,-75.984,POINT (-75.983592 44.347229),2024
Fort Fairfield,Maine,107,US-Canada Border,Oct 2024,Truck Containers Loaded,91,46.765,-67.789,POINT (-67.789471 46.765323),2024
Warroad,Minnesota,3423,US-Canada Border,Oct 2024,Personal Vehicles,7244,48.999,-95.377,POINT (-95.376555 48.999),2024
Jackman,Maine,104,US-Canada Border,Oct 2024,Pedestrians,38,45.806,-70.397,POINT (-70.396722 45.805661),2024
Point Roberts,Washington,3017,US-Canada Border,Oct 2024,Truck Containers Empty,485,49.002,-123.068,POINT (-123.068055556 49.0020555547),2024
Blaine,Washington,3004,US-Canada Border,Oct 2024,Bus Passengers,12097,48.994,-122.749,POINT (-122.748884 48.994045),2024
Sherwood,North Dakota,3414,US-Canada Border,Oct 2024,Truck Containers Empty,205,48.999,-101.628,POINT (-101.627527 48.999305),2024
Noonan,North Dakota,3420,US-Canada Border,Oct 2024,Personal Vehicle Passengers,2288,48.999,-103.004,POINT (-103.004361 48.999333),2024
Calais,Maine,115,US-Canada Border,Oct 2024,Truck Containers Loaded,6115,45.189,-67.275,POINT (-67.275381 45.188548),2024
San Ysidro,California,2504,US-Mexico Border,Oct 2024,Buses,4508,32.543,-117.029,POINT (-117.028761 32.542528),2024
Houlton,Maine,106,US-Canada Border,Oct 2024,Trucks,8149,46.135,-67.781,POINT (-67.781288 46.134879),2024
Grand Portage,Minnesota,3613,US-Canada Border,Oct 2024,Truck Containers Loaded,1295,48.001,-89.585,POINT (-89.58515 48.001427),2024
Eastport,Idaho,3302,US-Canada Border,Oct 2024,Bus Passengers,110,49.001,-116.181,POINT (-116.181027 49.000555),2024
Roseau,Minnesota,3426,US-Canada Border,Oct 2024,Trucks,252,49.0,-95.766,POINT (-95.766469 48.999538),2024
Otay Mesa,California,2506,US-Mexico Border,Oct 2024,Personal Vehicles,582463,32.55,-116.939,POINT (-116.938538 32.55033),2024
Maida,North Dakota,3416,US-Canada Border,Oct 2024,Trucks,53,49.0,-98.365,POINT (-98.36525 49.00025),2024
Piegan,Montana,3316,US-Canada Border,Oct 2024,Pedestrians,637,48.998,-113.379,POINT (-113.378777 48.998083),2024
Sault Sainte Marie,Michigan,3803,US-Canada Border,Oct 2024,Personal Vehicle Passengers,93774,46.509,-84.361,POINT (-84.360833 46.508611),2024
Ysleta,Texas,2401,US-Mexico Border,Oct 2024,Personal Vehicle Passengers,533105,31.673,-106.335,POINT (-106.335449846028 31.6731261376859),2024
Laredo,Texas,2304,US-Mexico Border,Oct 2024,Personal Vehicles,439294,27.5,-99.507,POINT (-99.507412 27.499561),2024
Limestone,Maine,118,US-Canada Border,Oct 2024,Truck Containers Loaded,3,46.925,-67.79,POINT (-67.789597 46.924555),2024
Presidio,Texas,2403,US-Mexico Border,Oct 2024,Truck Containers Empty,369,29.562,-104.395,POINT (-104.394907 29.561827),2024
Porthill,Idaho,3308,US-Canada Border,Oct 2024,Trucks,188,49.0,-116.499,POINT (-116.49925 48.999861),2024
Santa Teresa,New Mexico,2408,US-Mexico Border,Oct 2024,Bus Passengers,736,31.784,-106.679,POINT (-106.679437 31.783939),2024
Jackman,Maine,104,US-Canada Border,Oct 2024,Train Passengers,62,45.806,-70.397,POINT (-70.396722 45.805661),2024
Roosville,Montana,3318,US-Canada Border,Oct 2024,Trucks,859,49.0,-115.056,POINT (-115.056027 48.999638),2024
Columbus,New Mexico,2406,US-Mexico Border,Oct 2024,Trucks,2551,31.784,-107.628,POINT (-107.627948 31.783742),2024
Eastport,Idaho,3302,US-Canada Border,Oct 2024,Train Passengers,230,49.001,-116.181,POINT (-116.181027 49.000555),2024
Vanceboro,Maine,105,US-Canada Border,Oct 2024,Truck Containers Empty,54,45.569,-67.429,POINT (-67.428541 45.568761),2024
Sarles,North Dakota,3409,US-Canada Border,Oct 2024,Personal Vehicle Passengers,425,49.0,-98.938,POINT (-98.938361 49.000027),2024
Calais,Maine,115,US-Canada Border,Oct 2024,Pedestrians,550,45.189,-67.275,POINT (-67.275381 45.188548),2024
Pembina,North Dakota,3401,US-Canada Border,Oct 2024,Buses,33,49.0,-97.237,POINT (-97.237036 49.000453),2024
Trout River,New York,715,US-Canada Border,Oct 2024,Trains,48,44.992,-74.308,POINT (-74.308172 44.992058),2024
Portal,North Dakota,3403,US-Canada Border,Oct 2024,Trains,129,48.999,-102.552,POINT (-102.551944 48.998944),2024
Brownsville,Texas,2301,US-Mexico Border,Oct 2024,Buses,351,25.952,-97.401,POINT (-97.40067 25.95155),2024
Ferry,Washington,3013,US-Canada Border,Oct 2024,Trucks,1,49.0,-118.761,POINT (-118.761166 49.000083),2024
Fort Kent,Maine,110,US-Canada Border,Oct 2024,Truck Containers Loaded,24,47.249,-68.604,POINT (-68.603918 47.249206),2024
Sasabe,Arizona,2606,US-Mexico Border,Oct 2024,Pedestrians,34,31.483,-111.544,POINT (-111.544363 31.483039),2024
Sumas,Washington,3009,US-Canada Border,Oct 2024,Train Passengers,69,49.002,-122.265,POINT (-122.264805 49.002388),2024
Del Bonita,Montana,3322,US-Canada Border,Oct 2024,Truck Containers Empty,193,48.999,-112.788,POINT (-112.78825 48.998555),2024
Eagle Pass,Texas,2303,US-Mexico Border,Oct 2024,Pedestrians,93100,28.705,-100.512,POINT (-100.511977 28.705483),2024
Calexico East,California,2507,US-Mexico Border,Oct 2024,Rail Containers Empty,779,32.673,-115.388,POINT (-115.388018 32.673389),2024
Kenneth G Ward,Washington,3023,US-Canada Border,Oct 2024,Pedestrians,1613,49.002,-122.485,POINT (-122.485027 49.002277),2024
Opheim,Montana,3317,US-Canada Border,Oct 2024,Bus Passengers,21,49.0,-106.378,POINT (-106.377583 48.999527),2024
Tecate,California,2505,US-Mexico Border,Oct 2024,Personal Vehicles,92286,32.576,-116.626,POINT (-116.626216 32.576428),2024
Portal,North Dakota,3403,US-Canada Border,Oct 2024,Truck Containers Empty,1831,48.999,-102.552,POINT (-102.551944 48.998944),2024
Champlain Rouses Point,New York,712,US-Canada Border,Oct 2024,Truck Containers Empty,3310,45.009,-73.453,POINT (-73.4526634854 45.0088325953),2024
Metaline Falls,Washington,3025,US-Canada Border,Oct 2024,Personal Vehicle Passengers,3228,49.0,-117.299,POINT (-117.299444 48.999972),2024
Sault Sainte Marie,Michigan,3803,US-Canada Border,Oct 2024,Trains,31,46.509,-84.361,POINT (-84.360833 46.508611),2024
Trout River,New York,715,US-Canada Border,Oct 2024,Personal Vehicle Passengers,18332,44.992,-74.308,POINT (-74.308172 44.992058),2024
Hansboro,North Dakota,3415,US-Canada Border,Oct 2024,Truck Containers Loaded,12,49.0,-99.347,POINT (-99.346527 48.999583),2024
Ogdensburg,New York,701,US-Canada Border,Oct 2024,Bus Passengers,182,44.733,-75.458,POINT (-75.4577501759 44.7330898624),2024
Eastport,Maine,103,US-Canada Border,Oct 2024,Truck Containers Empty,116,44.859,-66.98,POINT (-66.98007566 44.8594395785),2024
Santa Teresa,New Mexico,2408,US-Mexico Border,Oct 2024,Buses,54,31.784,-106.679,POINT (-106.679437 31.783939),2024
Massena,New York,704,US-Canada Border,Oct 2024,Truck Containers Loaded,2816,44.991,-74.74,POINT (-74.739722 44.990556),2024
International Falls,Minnesota,3604,US-Canada Border,Oct 2024,Pedestrians,545,48.608,-93.401,POINT (-93.401355 48.6078),2024
Columbus,New Mexico,2406,US-Mexico Border,Oct 2024,Pedestrians,27710,31.784,-107.628,POINT (-107.627948 31.783742),2024
Raymond,Montana,3301,US-Canada Border,Oct 2024,Personal Vehicles,2216,48.999,-104.574,POINT (-104.574333 48.999194),2024
Houlton,Maine,106,US-Canada Border,Oct 2024,Personal Vehicle Passengers,33242,46.135,-67.781,POINT (-67.781288 46.134879),2024
El Paso,Texas,2402,US-Mexico Border,Oct 2024,Buses,1243,31.764,-106.451,POINT (-106.451188 31.764363),2024
Alcan,Alaska,3104,US-Canada Border,Oct 2024,Truck Containers Loaded,444,62.615,-141.001,POINT (-141.001444 62.614961),2024
Grand Portage,Minnesota,3613,US-Canada Border,Oct 2024,Pedestrians,11,48.001,-89.585,POINT (-89.58515 48.001427),2024
Point Roberts,Washington,3017,US-Canada Border,Oct 2024,Bus Passengers,286,49.002,-123.068,POINT (-123.068055556 49.0020555547),2024
Northgate,North Dakota,3406,US-Canada Border,Oct 2024,Personal Vehicle Passengers,1598,48.999,-102.275,POINT (-102.27475 48.998833),2024
Nogales,Arizona,2604,US-Mexico Border,Oct 2024,Truck Containers Empty,10137,31.333,-110.943,POINT (-110.942516 31.332839),2024
Fort Fairfield,Maine,107,US-Canada Border,Oct 2024,Pedestrians,162,46.765,-67.789,POINT (-67.789471 46.765323),2024
Buffalo Niagara Falls,New York,901,US-Canada Border,Oct 2024,Personal Vehicle Passengers,817257,43.095,-79.056,POINT (-79.055847 43.09549),2024
Skagway,Alaska,3103,US-Canada Border,Oct 2024,Personal Vehicles,1353,59.63,-135.164,POINT (-135.164444 59.629722),2024
Derby Line,Vermont,209,US-Canada Border,Oct 2024,Personal Vehicles,38931,45.006,-72.099,POINT (-72.099279 45.005739),2024
Beecher Falls,Vermont,206,US-Canada Border,Oct 2024,Truck Containers Empty,560,45.013,-71.505,POINT (-71.505309 45.013411),2024
St John,North Dakota,3405,US-Canada Border,Oct 2024,Personal Vehicles,692,48.999,-99.659,POINT (-99.659111 48.999277),2024
Oroville,Washington,3019,US-Canada Border,Oct 2024,Truck Containers Loaded,2803,49.0,-119.462,POINT (-119.461833 49.000083),2024
Vanceboro,Maine,105,US-Canada Border,Oct 2024,Rail Containers Empty,1867,45.569,-67.429,POINT (-67.428541 45.568761),2024
Pembina,North Dakota,3401,US-Canada Border,Oct 2024,Trains,97,49.0,-97.237,POINT (-97.237036 49.000453),2024
Sweetgrass,Montana,3310,US-Canada Border,Oct 2024,Personal Vehicle Passengers,37030,48.998,-111.96,POINT (-111.959611 48.998388),2024
Nogales,Arizona,2604,US-Mexico Border,Oct 2024,Personal Vehicle Passengers,623094,31.333,-110.943,POINT (-110.942516 31.332839),2024
